lot_id,product_id,start_time,fab_line,final_yield_pct,status
LOT-2309,PROD-3NM-AI-ACCEL,2026-03-05T08:00:00,LINE-02-FAB12,,in_progress
LOT-2310,PROD-3NM-SOC,2026-03-05T10:00:00,LINE-02-FAB12,,in_progress
LOT-2252,PROD-3NM-AI-ACCEL,2026-03-05T11:00:00,LINE-02-FAB12,71.12,completed
LOT-2290,PROD-3NM-SOC,2026-03-05T11:00:00,LINE-02-FAB12,77.09,completed
LOT-2293,PROD-5NM-GPU,2026-03-05T11:00:00,LINE-02-FAB12,80.91,completed
LOT-2025,PROD-5NM-MODEM,2026-03-05T13:00:00,LINE-02-FAB12,95.0,completed
LOT-2253,PROD-5NM-GPU,2026-03-05T14:00:00,LINE-01-FAB12,73.33,completed
LOT-2234,PROD-3NM-AI-ACCEL,2026-03-05T15:00:00,LINE-02-FAB12,82.9,completed
LOT-2020,PROD-5NM-MODEM,2026-03-05T16:00:00,LINE-02-FAB12,95.61,completed
LOT-2214,PROD-3NM-AI-ACCEL,2026-03-05T16:00:00,LINE-02-FAB12,74.6,completed
LOT-2292,PROD-5NM-MODEM,2026-03-05T16:00:00,LINE-02-FAB12,80.26,completed
LOT-2027,PROD-3NM-AI-ACCEL,2026-03-05T21:00:00,LINE-01-FAB12,94.2,completed
LOT-2232,PROD-3NM-SOC,2026-03-05T23:00:00,LINE-01-FAB12,83.32,completed
LOT-2024,PROD-5NM-GPU,2026-03-06T00:00:00,LINE-01-FAB12,93.58,completed
LOT-2233,PROD-3NM-SOC,2026-03-06T03:00:00,LINE-02-FAB12,83.08,completed
LOT-2215,PROD-5NM-GPU,2026-03-06T09:00:00,LINE-02-FAB12,76.16,completed
LOT-2274,PROD-5NM-GPU,2026-03-06T09:00:00,LINE-01-FAB12,81.6,completed
LOT-2026,PROD-5NM-GPU,2026-03-06T12:00:00,LINE-02-FAB12,93.67,completed
LOT-2029,PROD-3NM-SOC,2026-03-06T12:00:00,LINE-01-FAB12,97.25,completed
LOT-2028,PROD-5NM-MODEM,2026-03-06T14:00:00,LINE-01-FAB12,94.08,completed
LOT-2031,PROD-5NM-MODEM,2026-03-06T17:00:00,LINE-01-FAB12,98.03,completed
LOT-2030,PROD-5NM-MODEM,2026-03-07T00:00:00,LINE-02-FAB12,94.94,completed
LOT-2033,PROD-3NM-SOC,2026-03-07T00:00:00,LINE-01-FAB12,96.55,completed
LOT-2216,PROD-3NM-SOC,2026-03-07T00:00:00,LINE-02-FAB12,75.91,completed
LOT-2032,PROD-3NM-AI-ACCEL,2026-03-07T07:00:00,LINE-01-FAB12,94.12,completed
LOT-2034,PROD-3NM-SOC,2026-03-07T20:00:00,LINE-01-FAB12,94.56,completed
LOT-2035,PROD-5NM-MODEM,2026-03-07T21:00:00,LINE-01-FAB12,94.32,completed
