lot_id,wafer_id,defect_type,x,y,severity,detected_at_step
LOT-2001,LOT-2001-W04,bridging,-0.294,-0.3303,minor,cvd
LOT-2001,LOT-2001-W04,void,-0.5022,0.0363,critical,cvd
LOT-2001,LOT-2001-W04,void,0.5295,-0.7676,major,cvd
LOT-2001,LOT-2001-W04,bridging,-0.2641,0.1375,minor,cvd
LOT-2001,LOT-2001-W04,void,0.5154,0.0115,minor,cvd
LOT-2001,LOT-2001-W04,particle,-0.5605,-0.653,minor,cvd
LOT-2001,LOT-2001-W04,particle,-0.0276,-0.5008,minor,cvd
LOT-2001,LOT-2001-W04,void,-0.654,0.3195,major,cvd
LOT-2001,LOT-2001-W04,void,0.0858,0.0439,major,cvd
LOT-2001,LOT-2001-W04,particle,0.7582,-0.5228,minor,cvd
LOT-2001,LOT-2001-W04,particle,0.3669,-0.624,critical,cvd
LOT-2001,LOT-2001-W04,particle,0.4469,0.5998,major,cvd
LOT-2001,LOT-2001-W04,void,-0.1252,0.3267,minor,cvd
LOT-2001,LOT-2001-W04,particle,0.2655,-0.8904,minor,cvd
LOT-2001,LOT-2001-W04,particle,0.7319,-0.5394,minor,cvd
LOT-2001,LOT-2001-W04,particle,0.0013,0.4492,minor,cvd
LOT-2001,LOT-2001-W04,particle,0.0591,-0.3086,minor,cvd
LOT-2001,LOT-2001-W04,particle,-0.7666,0.5113,minor,cvd
LOT-2001,LOT-2001-W04,particle,0.4358,0.6373,major,cvd
LOT-2001,LOT-2001-W05,void,-0.3258,0.7704,minor,cvd
LOT-2001,LOT-2001-W05,particle,-0.7611,-0.0547,major,cvd
LOT-2001,LOT-2001-W05,particle,-0.5392,-0.2815,critical,cvd
LOT-2001,LOT-2001-W05,particle,-0.1267,-0.4781,major,cvd
LOT-2001,LOT-2001-W05,void,0.036,-0.0182,critical,cvd
LOT-2001,LOT-2001-W05,particle,-0.1373,-0.7059,minor,cvd
LOT-2001,LOT-2001-W05,particle,-0.4037,-0.7413,minor,cvd
LOT-2001,LOT-2001-W05,particle,0.5352,0.2517,major,cvd
LOT-2001,LOT-2001-W05,particle,-0.3857,0.6994,critical,cvd
LOT-2001,LOT-2001-W05,void,0.3172,-0.4482,minor,cvd
LOT-2001,LOT-2001-W05,particle,-0.2585,0.7902,major,cvd
LOT-2001,LOT-2001-W05,particle,-0.4572,0.2967,minor,cvd
LOT-2001,LOT-2001-W05,particle,-0.1759,0.5963,critical,cvd
LOT-2001,LOT-2001-W05,particle,-0.3069,0.1676,minor,cvd
LOT-2001,LOT-2001-W05,particle,-0.4191,-0.8529,minor,cvd
LOT-2001,LOT-2001-W05,particle,-0.6965,-0.618,minor,cvd
LOT-2001,LOT-2001-W05,particle,-0.5134,-0.1595,minor,cvd
LOT-2001,LOT-2001-W05,void,-0.0045,0.0192,minor,cvd
LOT-2001,LOT-2001-W05,void,-0.5631,-0.3095,minor,cvd
LOT-2001,LOT-2001-W05,void,-0.7738,0.173,minor,cvd
LOT-2001,LOT-2001-W05,void,0.1473,0.6348,minor,cvd
LOT-2001,LOT-2001-W05,particle,0.5483,-0.3922,major,cvd
LOT-2001,LOT-2001-W05,particle,0.4227,0.7654,minor,cvd
LOT-2001,LOT-2001-W05,void,-0.284,-0.0277,minor,cvd
LOT-2001,LOT-2001-W05,particle,-0.3977,0.6706,major,cvd
LOT-2001,LOT-2001-W06,void,-0.2437,0.4072,major,cvd
LOT-2001,LOT-2001-W06,particle,0.8099,0.4491,major,cvd
LOT-2001,LOT-2001-W06,particle,-0.2824,0.2552,minor,cvd
LOT-2001,LOT-2001-W06,void,0.086,0.3733,minor,cvd
LOT-2001,LOT-2001-W06,void,-0.3072,0.5515,minor,cvd
LOT-2001,LOT-2001-W06,bridging,0.6184,0.2551,minor,cvd
LOT-2001,LOT-2001-W06,bridging,-0.6873,0.5724,minor,cvd
LOT-2001,LOT-2001-W06,particle,0.8109,-0.2859,critical,cvd
LOT-2001,LOT-2001-W06,particle,0.1002,-0.0933,minor,cvd
LOT-2001,LOT-2001-W06,particle,-0.7358,0.1072,major,cvd
LOT-2001,LOT-2001-W06,particle,-0.2861,0.9075,major,cvd
LOT-2001,LOT-2001-W06,particle,0.4756,-0.3852,minor,cvd
LOT-2001,LOT-2001-W06,particle,-0.8702,-0.2131,minor,cvd
LOT-2001,LOT-2001-W06,particle,0.2589,-0.7991,minor,cvd
LOT-2001,LOT-2001-W07,particle,0.8031,0.2726,minor,litho
LOT-2001,LOT-2001-W07,particle,0.1542,0.9436,minor,litho
LOT-2001,LOT-2001-W07,void,0.2475,-0.0681,major,litho
LOT-2001,LOT-2001-W07,void,0.1929,0.0381,minor,litho
LOT-2001,LOT-2001-W07,particle,0.2591,-0.4127,major,litho
LOT-2001,LOT-2001-W07,bridging,0.0556,0.7705,major,litho
LOT-2001,LOT-2001-W07,particle,0.5076,0.444,minor,litho
LOT-2001,LOT-2001-W07,particle,-0.9311,0.2079,minor,litho
LOT-2001,LOT-2001-W07,particle,-0.3371,0.364,major,litho
LOT-2001,LOT-2001-W07,particle,0.7431,-0.1723,major,litho
LOT-2001,LOT-2001-W07,particle,0.1443,-0.818,major,litho
LOT-2001,LOT-2001-W07,particle,-0.1484,0.3678,minor,litho
LOT-2001,LOT-2001-W07,void,0.6723,-0.3221,minor,litho
LOT-2001,LOT-2001-W07,particle,0.6229,-0.4062,major,litho
LOT-2001,LOT-2001-W07,particle,0.5602,-0.2158,major,litho
LOT-2001,LOT-2001-W07,particle,-0.3654,-0.2387,major,litho
LOT-2001,LOT-2001-W07,particle,0.0401,0.8922,minor,litho
LOT-2001,LOT-2001-W07,particle,-0.2606,0.7757,critical,litho
LOT-2001,LOT-2001-W07,particle,0.2771,-0.7618,major,litho
LOT-2001,LOT-2001-W07,particle,-0.8005,-0.352,minor,litho
LOT-2001,LOT-2001-W07,particle,-0.1944,-0.0406,minor,litho
LOT-2001,LOT-2001-W07,particle,0.7234,0.3346,minor,litho
LOT-2001,LOT-2001-W07,particle,0.7861,0.0626,major,litho
LOT-2001,LOT-2001-W07,particle,-0.634,0.0391,major,litho
LOT-2001,LOT-2001-W07,particle,-0.4181,0.4915,minor,litho
LOT-2001,LOT-2001-W07,particle,-0.8959,0.2316,minor,litho
LOT-2001,LOT-2001-W07,bridging,0.1716,0.3428,minor,litho
LOT-2001,LOT-2001-W08,particle,-0.1396,0.8306,major,etch
LOT-2001,LOT-2001-W08,particle,0.0482,-0.7509,minor,etch
LOT-2001,LOT-2001-W08,void,0.7514,-0.0925,major,etch
LOT-2001,LOT-2001-W08,bridging,-0.2562,0.8567,major,etch
LOT-2001,LOT-2001-W08,particle,-0.1899,0.5573,major,etch
LOT-2001,LOT-2001-W08,particle,0.5773,0.5889,critical,etch
LOT-2001,LOT-2001-W08,bridging,0.1969,0.0702,critical,etch
LOT-2001,LOT-2001-W08,void,0.4973,-0.1823,minor,etch
LOT-2001,LOT-2001-W08,particle,0.0137,-0.7826,critical,etch
LOT-2001,LOT-2001-W08,particle,0.313,0.0242,minor,etch
LOT-2001,LOT-2001-W08,particle,-0.5179,0.0697,major,etch
LOT-2001,LOT-2001-W08,particle,0.5586,-0.123,major,etch
LOT-2001,LOT-2001-W08,particle,0.318,-0.376,major,etch
LOT-2001,LOT-2001-W08,particle,0.3035,0.1321,minor,etch
LOT-2001,LOT-2001-W08,particle,-0.6083,-0.3197,major,etch
LOT-2001,LOT-2001-W08,particle,0.4701,0.662,minor,etch
LOT-2001,LOT-2001-W08,particle,0.8379,-0.2774,minor,etch
LOT-2001,LOT-2001-W08,particle,0.0033,0.286,major,etch
LOT-2001,LOT-2001-W09,particle,0.4326,-0.8278,minor,etch
LOT-2001,LOT-2001-W09,void,0.132,0.2262,major,etch
LOT-2001,LOT-2001-W09,particle,-0.0036,-0.5435,major,etch
LOT-2001,LOT-2001-W09,bridging,-0.1776,0.7177,minor,etch
LOT-2001,LOT-2001-W09,particle,-0.1299,-0.3202,major,etch
LOT-2001,LOT-2001-W09,particle,0.7672,-0.2889,major,etch
LOT-2001,LOT-2001-W09,bridging,-0.6928,0.027,major,etch
LOT-2001,LOT-2001-W09,particle,0.2693,0.0689,minor,etch
LOT-2001,LOT-2001-W09,particle,-0.2827,0.5788,minor,etch
LOT-2001,LOT-2001-W09,particle,0.4118,0.2662,major,etch
LOT-2001,LOT-2001-W09,particle,0.4942,-0.8243,minor,etch
LOT-2001,LOT-2001-W09,particle,0.708,-0.2262,minor,etch
LOT-2001,LOT-2001-W09,particle,-0.4597,-0.8653,minor,etch
LOT-2001,LOT-2001-W09,bridging,0.4926,0.1272,major,etch
LOT-2001,LOT-2001-W09,particle,-0.8376,0.1571,major,etch
LOT-2001,LOT-2001-W09,bridging,0.6836,-0.3981,minor,etch
LOT-2001,LOT-2001-W09,particle,-0.3589,-0.2133,major,etch
LOT-2001,LOT-2001-W09,particle,-0.7797,0.0406,minor,etch
LOT-2001,LOT-2001-W09,particle,-0.1709,0.2417,minor,etch
LOT-2001,LOT-2001-W10,void,-0.5716,-0.7634,major,cmp
LOT-2001,LOT-2001-W10,bridging,0.3506,-0.1579,minor,cmp
LOT-2001,LOT-2001-W10,bridging,-0.1464,-0.5088,major,cmp
LOT-2001,LOT-2001-W10,particle,-0.6279,0.0693,minor,cmp
LOT-2001,LOT-2001-W10,particle,-0.6488,0.1806,major,cmp
LOT-2001,LOT-2001-W10,particle,0.1359,0.3471,minor,cmp
LOT-2001,LOT-2001-W10,particle,-0.0177,-0.7585,minor,cmp
LOT-2001,LOT-2001-W10,void,0.3278,0.1538,minor,cmp
LOT-2001,LOT-2001-W10,particle,0.5255,-0.6826,minor,cmp
LOT-2001,LOT-2001-W10,particle,0.1341,-0.5554,minor,cmp
LOT-2001,LOT-2001-W10,particle,0.5065,0.0082,major,cmp
LOT-2001,LOT-2001-W10,void,0.4362,-0.7121,critical,cmp
LOT-2001,LOT-2001-W10,bridging,-0.4001,-0.63,critical,cmp
LOT-2001,LOT-2001-W10,particle,-0.8607,0.3004,minor,cmp
LOT-2001,LOT-2001-W10,bridging,-0.3377,0.5926,critical,cmp
LOT-2001,LOT-2001-W11,particle,-0.6187,0.4646,minor,cvd
LOT-2001,LOT-2001-W11,void,-0.1316,0.2446,major,cvd
LOT-2001,LOT-2001-W11,particle,-0.7869,-0.1687,minor,cvd
LOT-2001,LOT-2001-W11,particle,-0.6692,-0.6845,minor,cvd
LOT-2001,LOT-2001-W11,bridging,-0.9206,0.0698,major,cvd
LOT-2001,LOT-2001-W11,bridging,-0.5333,-0.485,minor,cvd
LOT-2001,LOT-2001-W11,particle,-0.1902,-0.4351,major,cvd
LOT-2001,LOT-2001-W11,bridging,0.0741,0.5201,minor,cvd
LOT-2001,LOT-2001-W11,particle,0.2919,-0.04,major,cvd
LOT-2001,LOT-2001-W11,particle,-0.2441,-0.8189,major,cvd
LOT-2001,LOT-2001-W11,particle,0.1559,0.2688,critical,cvd
LOT-2001,LOT-2001-W11,void,0.5274,0.097,major,cvd
LOT-2001,LOT-2001-W11,particle,0.5238,0.1928,minor,cvd
LOT-2001,LOT-2001-W11,void,-0.532,0.2475,minor,cvd
LOT-2001,LOT-2001-W11,bridging,-0.4122,0.2542,minor,cvd
LOT-2001,LOT-2001-W11,void,0.3443,0.7323,minor,cvd
LOT-2001,LOT-2001-W11,void,-0.3168,-0.2604,major,cvd
LOT-2001,LOT-2001-W11,void,-0.2472,-0.5534,major,cvd
LOT-2001,LOT-2001-W11,particle,-0.5991,-0.345,major,cvd
LOT-2001,LOT-2001-W11,void,-0.3058,-0.3599,minor,cvd
LOT-2001,LOT-2001-W12,void,-0.5647,-0.7408,critical,litho
LOT-2001,LOT-2001-W12,particle,-0.5075,0.1979,major,litho
LOT-2001,LOT-2001-W12,particle,-0.0825,-0.7415,minor,litho
LOT-2001,LOT-2001-W12,particle,-0.0823,0.2825,minor,litho
LOT-2001,LOT-2001-W12,bridging,0.3816,0.7565,major,litho
LOT-2001,LOT-2001-W12,particle,-0.3454,-0.0873,critical,litho
LOT-2001,LOT-2001-W12,void,-0.9478,-0.1861,minor,litho
LOT-2001,LOT-2001-W12,bridging,0.4537,-0.8194,major,litho
LOT-2001,LOT-2001-W12,particle,0.2247,-0.4431,minor,litho
LOT-2001,LOT-2001-W12,bridging,0.2364,-0.6379,major,litho
LOT-2001,LOT-2001-W12,particle,-0.4479,0.7186,major,litho
LOT-2001,LOT-2001-W12,bridging,0.3236,-0.0768,major,litho
LOT-2001,LOT-2001-W12,particle,0.3596,-0.0768,critical,litho
LOT-2001,LOT-2001-W12,void,-0.1466,-0.897,major,litho
LOT-2001,LOT-2001-W12,particle,0.9497,-0.1981,minor,litho
LOT-2001,LOT-2001-W12,void,-0.5845,0.6565,minor,litho
LOT-2001,LOT-2001-W13,particle,-0.5187,-0.7624,major,etch
LOT-2001,LOT-2001-W13,particle,-0.6688,-0.5945,critical,etch
LOT-2001,LOT-2001-W13,particle,-0.1764,0.9331,major,etch
LOT-2001,LOT-2001-W13,particle,0.1663,0.7971,major,etch
LOT-2001,LOT-2001-W13,particle,0.057,0.651,minor,etch
LOT-2001,LOT-2001-W13,void,0.586,-0.0706,minor,etch
LOT-2001,LOT-2001-W13,particle,0.4842,-0.344,major,etch
LOT-2001,LOT-2001-W13,particle,0.7307,0.2922,critical,etch
LOT-2001,LOT-2001-W13,bridging,0.5045,-0.1021,minor,etch
LOT-2001,LOT-2001-W13,particle,0.4291,-0.8528,major,etch
LOT-2001,LOT-2001-W13,void,0.07,0.2883,major,etch
LOT-2001,LOT-2001-W13,void,0.7708,-0.1416,major,etch
LOT-2001,LOT-2001-W13,particle,-0.1104,0.1907,major,etch
LOT-2001,LOT-2001-W13,particle,0.2244,-0.9483,minor,etch
LOT-2001,LOT-2001-W13,void,0.2134,-0.3893,major,etch
LOT-2001,LOT-2001-W13,particle,-0.6247,-0.3768,major,etch
LOT-2001,LOT-2001-W13,particle,0.0942,0.8786,major,etch
LOT-2001,LOT-2001-W13,void,0.2073,-0.8371,major,etch
LOT-2001,LOT-2001-W13,particle,-0.129,0.7455,minor,etch
LOT-2001,LOT-2001-W13,particle,0.9692,-0.0761,minor,etch
LOT-2001,LOT-2001-W13,particle,0.2162,-0.6871,minor,etch
LOT-2001,LOT-2001-W13,particle,0.2171,-0.2418,minor,etch
LOT-2001,LOT-2001-W13,particle,-0.2237,0.2766,minor,etch
LOT-2001,LOT-2001-W13,particle,-0.7381,-0.461,major,etch
LOT-2001,LOT-2001-W13,particle,-0.0119,0.1225,minor,etch
LOT-2001,LOT-2001-W14,particle,0.2544,0.1513,minor,litho
LOT-2001,LOT-2001-W14,particle,-0.0219,-0.6437,minor,litho
LOT-2001,LOT-2001-W14,particle,0.4092,0.4364,minor,litho
LOT-2001,LOT-2001-W14,particle,0.2312,-0.0646,critical,litho
LOT-2001,LOT-2001-W14,particle,-0.3538,-0.6436,major,litho
LOT-2001,LOT-2001-W14,particle,0.4402,-0.448,major,litho
LOT-2001,LOT-2001-W14,particle,-0.8414,0.4426,minor,litho
LOT-2001,LOT-2001-W14,particle,0.8893,0.2979,major,litho
LOT-2001,LOT-2001-W14,particle,-0.201,0.4856,minor,litho
LOT-2001,LOT-2001-W14,particle,-0.3151,-0.0147,major,litho
LOT-2001,LOT-2001-W14,particle,-0.3831,0.043,minor,litho
LOT-2001,LOT-2001-W14,particle,-0.5307,0.7294,major,litho
LOT-2001,LOT-2001-W14,bridging,0.5486,0.483,minor,litho
LOT-2001,LOT-2001-W14,void,0.0772,0.5114,major,litho
LOT-2001,LOT-2001-W14,particle,-0.5954,-0.2399,major,litho
LOT-2001,LOT-2001-W14,particle,-0.6194,-0.5944,major,litho
LOT-2001,LOT-2001-W14,particle,-0.7545,-0.281,major,litho
LOT-2001,LOT-2001-W14,particle,-0.4185,-0.6401,minor,litho
LOT-2001,LOT-2001-W14,particle,0.8026,0.1476,major,litho
LOT-2001,LOT-2001-W14,void,0.0399,-0.5107,major,litho
LOT-2001,LOT-2001-W14,particle,-0.5579,0.7575,critical,litho
LOT-2001,LOT-2001-W14,particle,0.2594,0.327,major,litho
LOT-2001,LOT-2001-W14,particle,0.7198,0.3364,minor,litho
LOT-2001,LOT-2001-W14,particle,0.8304,-0.1486,major,litho
LOT-2001,LOT-2001-W14,bridging,-0.2914,-0.0565,major,litho
LOT-2001,LOT-2001-W14,bridging,-0.5758,0.1726,major,litho
LOT-2001,LOT-2001-W14,particle,-0.1468,0.36,major,litho
LOT-2001,LOT-2001-W15,particle,-0.41,-0.2561,minor,litho
LOT-2001,LOT-2001-W15,void,-0.5626,0.4321,minor,litho
LOT-2001,LOT-2001-W15,particle,-0.2911,0.4618,minor,litho
LOT-2001,LOT-2001-W15,particle,0.2783,0.4924,major,litho
LOT-2001,LOT-2001-W15,particle,0.528,0.4598,major,litho
LOT-2001,LOT-2001-W15,particle,0.5811,-0.39,major,litho
LOT-2001,LOT-2001-W15,void,-0.0821,-0.5734,major,litho
LOT-2001,LOT-2001-W15,void,0.3524,-0.8138,minor,litho
LOT-2001,LOT-2001-W15,particle,0.2885,0.379,major,litho
LOT-2001,LOT-2001-W15,particle,-0.3482,-0.2611,major,litho
LOT-2001,LOT-2001-W15,particle,-0.478,-0.7082,major,litho
LOT-2001,LOT-2001-W15,particle,0.059,-0.4082,major,litho
LOT-2001,LOT-2001-W15,particle,0.0192,-0.6886,major,litho
LOT-2001,LOT-2001-W15,particle,-0.8106,0.2696,minor,litho
LOT-2001,LOT-2001-W15,particle,-0.8658,-0.3714,critical,litho
LOT-2001,LOT-2001-W15,particle,-0.554,-0.5507,minor,litho
LOT-2001,LOT-2001-W15,particle,-0.6352,-0.6531,minor,litho
LOT-2001,LOT-2001-W15,particle,0.3462,0.1584,minor,litho
LOT-2001,LOT-2001-W15,void,-0.2123,0.6161,major,litho
LOT-2001,LOT-2001-W15,particle,0.482,0.1775,major,litho
LOT-2001,LOT-2001-W15,particle,-0.2586,0.6484,minor,litho
LOT-2001,LOT-2001-W15,particle,0.6172,0.2305,major,litho
LOT-2001,LOT-2001-W15,particle,0.7919,0.4144,minor,litho
LOT-2001,LOT-2001-W15,particle,0.5597,-0.7188,major,litho
LOT-2001,LOT-2001-W15,void,-0.7678,-0.0341,minor,litho
LOT-2001,LOT-2001-W16,void,-0.6982,0.3646,major,litho
LOT-2001,LOT-2001-W16,void,-0.3831,0.448,major,litho
LOT-2001,LOT-2001-W16,bridging,0.0928,0.4056,major,litho
LOT-2001,LOT-2001-W16,particle,-0.9505,0.0822,minor,litho
LOT-2001,LOT-2001-W16,particle,0.3028,0.3548,major,litho
LOT-2001,LOT-2001-W16,particle,0.1522,-0.2257,critical,litho
LOT-2001,LOT-2001-W16,particle,0.0408,-0.309,minor,litho
LOT-2001,LOT-2001-W16,particle,0.6669,-0.5978,minor,litho
LOT-2001,LOT-2001-W16,particle,-0.0987,0.1628,critical,litho
LOT-2001,LOT-2001-W16,bridging,0.5831,0.6292,minor,litho
LOT-2001,LOT-2001-W16,particle,0.3151,0.5124,minor,litho
LOT-2001,LOT-2001-W16,particle,0.1181,-0.8857,major,litho
LOT-2001,LOT-2001-W16,void,0.4461,0.7602,minor,litho
LOT-2001,LOT-2001-W16,particle,-0.5493,0.3444,minor,litho
LOT-2001,LOT-2001-W16,particle,0.0631,0.8035,critical,litho
LOT-2001,LOT-2001-W16,particle,-0.1422,0.6375,major,litho
LOT-2001,LOT-2001-W16,void,-0.8046,0.2674,minor,litho
LOT-2001,LOT-2001-W16,void,-0.2614,0.6667,minor,litho
LOT-2001,LOT-2001-W16,particle,-0.8646,0.1705,major,litho
LOT-2001,LOT-2001-W16,particle,-0.6041,0.6611,critical,litho
LOT-2001,LOT-2001-W16,particle,0.9492,-0.0931,minor,litho
LOT-2001,LOT-2001-W16,particle,-0.132,0.6527,major,litho
LOT-2001,LOT-2001-W16,bridging,-0.5966,-0.104,minor,litho
LOT-2001,LOT-2001-W16,particle,0.3931,-0.8795,minor,litho
LOT-2001,LOT-2001-W16,particle,0.5659,0.6703,major,litho
LOT-2001,LOT-2001-W16,particle,-0.3095,-0.3799,minor,litho
LOT-2001,LOT-2001-W16,particle,-0.863,-0.3079,major,litho
LOT-2001,LOT-2001-W16,particle,0.1779,-0.2586,critical,litho
LOT-2001,LOT-2001-W17,particle,-0.9204,-0.2617,major,litho
LOT-2001,LOT-2001-W17,particle,-0.8681,-0.0416,minor,litho
LOT-2001,LOT-2001-W17,particle,0.0978,-0.0998,major,litho
LOT-2001,LOT-2001-W17,particle,-0.155,0.1334,major,litho
LOT-2001,LOT-2001-W17,void,-0.0101,-0.5987,major,litho
LOT-2001,LOT-2001-W17,particle,0.5336,0.2412,major,litho
LOT-2001,LOT-2001-W17,particle,-0.2652,-0.4016,minor,litho
LOT-2001,LOT-2001-W17,particle,-0.2747,-0.1553,major,litho
LOT-2001,LOT-2001-W17,particle,0.5701,0.6338,major,litho
LOT-2001,LOT-2001-W17,particle,-0.3072,0.494,major,litho
LOT-2001,LOT-2001-W17,void,0.3802,-0.6876,major,litho
LOT-2001,LOT-2001-W17,particle,0.805,-0.0975,major,litho
LOT-2001,LOT-2001-W17,void,0.2798,0.6175,minor,litho
LOT-2001,LOT-2001-W17,particle,-0.0762,-0.3517,major,litho
LOT-2001,LOT-2001-W17,particle,0.9264,0.2192,minor,litho
LOT-2001,LOT-2001-W17,particle,0.1124,-0.4254,minor,litho
LOT-2001,LOT-2001-W17,particle,-0.3695,0.8451,minor,litho
LOT-2001,LOT-2001-W17,void,-0.4379,0.3257,major,litho
LOT-2001,LOT-2001-W17,particle,-0.8726,0.1472,minor,litho
LOT-2001,LOT-2001-W17,particle,-0.1132,-0.1495,major,litho
LOT-2001,LOT-2001-W17,particle,0.3395,-0.3994,major,litho
LOT-2001,LOT-2001-W17,particle,-0.1196,-0.1778,major,litho
LOT-2001,LOT-2001-W17,bridging,0.1563,-0.4878,critical,litho
LOT-2001,LOT-2001-W18,void,-0.6622,0.6875,minor,cmp
LOT-2001,LOT-2001-W18,void,-0.7654,-0.3835,minor,cmp
LOT-2001,LOT-2001-W18,particle,-0.5717,0.4262,minor,cmp
LOT-2001,LOT-2001-W18,particle,0.0019,0.7898,major,cmp
LOT-2001,LOT-2001-W18,particle,-0.0297,-0.3287,major,cmp
LOT-2001,LOT-2001-W18,void,-0.525,0.4513,critical,cmp
LOT-2001,LOT-2001-W18,particle,-0.0543,0.7324,major,cmp
LOT-2001,LOT-2001-W18,void,-0.4718,0.1656,minor,cmp
LOT-2001,LOT-2001-W18,particle,-0.2169,0.9539,critical,cmp
LOT-2001,LOT-2001-W18,particle,-0.9367,0.0518,minor,cmp
LOT-2001,LOT-2001-W18,void,0.2066,-0.274,minor,cmp
LOT-2001,LOT-2001-W18,void,0.5298,-0.3917,minor,cmp
LOT-2001,LOT-2001-W18,particle,0.5569,0.3426,minor,cmp
LOT-2001,LOT-2001-W18,particle,0.4571,-0.6678,major,cmp
LOT-2001,LOT-2001-W18,particle,-0.3183,0.4534,major,cmp
LOT-2001,LOT-2001-W18,void,-0.241,-0.0654,minor,cmp
