lot_id,step_name,tool_id,parameter_name,value,spec_min,spec_max,timestamp
LOT-2003,implant,IMP-02,acceleration_energy,80.6996,78.2,81.8,2026-03-02T05:08:00
LOT-2003,implant,IMP-02,tilt_angle,6.9212,6.79,7.21,2026-03-02T05:08:00
LOT-2004,litho,LITHO-04,exposure_energy,24.4808,23.7,25.3,2026-03-02T12:16:00
LOT-2004,litho,LITHO-04,focus_offset,-3.6287,-7.5,7.5,2026-03-02T12:16:00
LOT-2004,litho,LITHO-04,numerical_aperture,1.3508,1.339,1.361,2026-03-02T12:16:00
LOT-2004,etch,ETCH-01,chamber_pressure,14.7303,13.8,16.2,2026-03-02T13:33:00
LOT-2004,etch,ETCH-01,rf_power_forward,854.0714,828.0,872.0,2026-03-02T13:33:00
LOT-2004,etch,ETCH-01,gas_flow_cl2,121.3894,115.8,124.2,2026-03-02T13:33:00
LOT-2004,cvd,CVD-03,deposition_temp,399.6571,394.5,405.5,2026-03-02T14:40:00
LOT-2004,cvd,CVD-03,chamber_pressure,3.9948,3.79,4.21,2026-03-02T14:40:00
LOT-2004,cvd,CVD-03,rf_bias,250.5139,240.0,260.0,2026-03-02T14:40:00
LOT-2004,cmp,CMP-02,head_downforce,3.5205,3.33,3.67,2026-03-02T15:27:00
LOT-2004,cmp,CMP-02,platen_rpm,74.5963,72.9,77.1,2026-03-02T15:27:00
LOT-2004,cmp,CMP-02,slurry_flow_rate,179.9802,173.0,187.0,2026-03-02T15:27:00
LOT-2004,implant,IMP-02,beam_current,11.9762,11.58,12.42,2026-03-02T16:33:00
LOT-2004,implant,IMP-02,acceleration_energy,80.3202,78.2,81.8,2026-03-02T16:33:00
LOT-2004,implant,IMP-02,tilt_angle,7.0269,6.79,7.21,2026-03-02T16:33:00
LOT-2005,litho,LITHO-04,exposure_energy,24.4033,23.7,25.3,2026-03-03T04:19:00
LOT-2005,litho,LITHO-04,focus_offset,0.1415,-7.5,7.5,2026-03-03T04:19:00
LOT-2005,litho,LITHO-04,numerical_aperture,1.3531,1.339,1.361,2026-03-03T04:19:00
LOT-2005,etch,ETCH-03,chamber_pressure,15.0213,13.8,16.2,2026-03-03T05:13:00
LOT-2005,etch,ETCH-03,rf_power_forward,854.467,828.0,872.0,2026-03-03T05:13:00
LOT-2005,etch,ETCH-03,gas_flow_cl2,121.0316,115.8,124.2,2026-03-03T05:13:00
LOT-2005,cvd,CVD-01,deposition_temp,401.6925,394.5,405.5,2026-03-03T06:15:00
LOT-2005,cvd,CVD-01,chamber_pressure,3.9643,3.79,4.21,2026-03-03T06:15:00
LOT-2005,cvd,CVD-01,rf_bias,247.1725,240.0,260.0,2026-03-03T06:15:00
LOT-2005,cmp,CMP-04,head_downforce,3.5537,3.33,3.67,2026-03-03T07:26:00
LOT-2005,cmp,CMP-04,platen_rpm,75.6093,72.9,77.1,2026-03-03T07:26:00
LOT-2005,cmp,CMP-04,slurry_flow_rate,184.5443,173.0,187.0,2026-03-03T07:26:00
LOT-2005,implant,IMP-03,beam_current,11.9422,11.58,12.42,2026-03-03T08:40:00
LOT-2005,implant,IMP-03,acceleration_energy,81.0216,78.2,81.8,2026-03-03T08:40:00
LOT-2005,implant,IMP-03,tilt_angle,6.9195,6.79,7.21,2026-03-03T08:40:00
LOT-2006,litho,LITHO-03,exposure_energy,24.4616,23.7,25.3,2026-03-02T17:10:00
LOT-2006,litho,LITHO-03,focus_offset,-1.507,-7.5,7.5,2026-03-02T17:10:00
LOT-2006,litho,LITHO-03,numerical_aperture,1.3494,1.339,1.361,2026-03-02T17:10:00
LOT-2006,etch,ETCH-02,chamber_pressure,15.6169,13.8,16.2,2026-03-02T18:09:00
LOT-2006,etch,ETCH-02,rf_power_forward,847.2812,828.0,872.0,2026-03-02T18:09:00
LOT-2006,etch,ETCH-02,gas_flow_cl2,120.093,115.8,124.2,2026-03-02T18:09:00
LOT-2006,cvd,CVD-03,deposition_temp,398.5868,394.5,405.5,2026-03-02T19:22:00
LOT-2006,cvd,CVD-03,chamber_pressure,4.0009,3.79,4.21,2026-03-02T19:22:00
LOT-2006,cvd,CVD-03,rf_bias,252.503,240.0,260.0,2026-03-02T19:22:00
LOT-2006,cmp,CMP-04,head_downforce,3.5601,3.33,3.67,2026-03-02T20:18:00
LOT-2006,cmp,CMP-04,platen_rpm,74.7968,72.9,77.1,2026-03-02T20:18:00
LOT-2006,cmp,CMP-04,slurry_flow_rate,179.0144,173.0,187.0,2026-03-02T20:18:00
LOT-2006,implant,IMP-02,beam_current,12.0841,11.58,12.42,2026-03-02T21:11:00
LOT-2006,implant,IMP-02,acceleration_energy,80.4554,78.2,81.8,2026-03-02T21:11:00
LOT-2006,implant,IMP-02,tilt_angle,6.914,6.79,7.21,2026-03-02T21:11:00
LOT-2007,litho,LITHO-02,exposure_energy,24.5267,23.7,25.3,2026-03-02T13:15:00
LOT-2007,litho,LITHO-02,focus_offset,-2.4697,-7.5,7.5,2026-03-02T13:15:00
LOT-2007,litho,LITHO-02,numerical_aperture,1.3524,1.339,1.361,2026-03-02T13:15:00
LOT-2007,etch,ETCH-03,chamber_pressure,14.9783,13.8,16.2,2026-03-02T14:28:00
LOT-2007,etch,ETCH-03,rf_power_forward,848.9535,828.0,872.0,2026-03-02T14:28:00
LOT-2007,etch,ETCH-03,gas_flow_cl2,120.0664,115.8,124.2,2026-03-02T14:28:00
LOT-2007,cvd,CVD-06,deposition_temp,397.4137,394.5,405.5,2026-03-02T15:44:00
LOT-2007,cvd,CVD-06,chamber_pressure,3.9567,3.79,4.21,2026-03-02T15:44:00
LOT-2007,cvd,CVD-06,rf_bias,254.9503,240.0,260.0,2026-03-02T15:44:00
LOT-2007,cmp,CMP-02,head_downforce,3.4932,3.33,3.67,2026-03-02T16:33:00
LOT-2007,cmp,CMP-02,platen_rpm,75.285,72.9,77.1,2026-03-02T16:33:00
LOT-2007,cmp,CMP-02,slurry_flow_rate,181.0769,173.0,187.0,2026-03-02T16:33:00
LOT-2007,implant,IMP-01,beam_current,12.1828,11.58,12.42,2026-03-02T17:43:00
LOT-2007,implant,IMP-01,acceleration_energy,80.6381,78.2,81.8,2026-03-02T17:43:00
LOT-2007,implant,IMP-01,tilt_angle,7.0328,6.79,7.21,2026-03-02T17:43:00
LOT-2008,litho,LITHO-01,exposure_energy,24.4695,23.7,25.3,2026-03-03T17:18:00
LOT-2008,litho,LITHO-01,focus_offset,0.4181,-7.5,7.5,2026-03-03T17:18:00
LOT-2008,litho,LITHO-01,numerical_aperture,1.3459,1.339,1.361,2026-03-03T17:18:00
LOT-2008,etch,ETCH-04,chamber_pressure,14.6708,13.8,16.2,2026-03-03T18:26:00
LOT-2008,etch,ETCH-04,rf_power_forward,847.7514,828.0,872.0,2026-03-03T18:26:00
LOT-2008,etch,ETCH-04,gas_flow_cl2,121.259,115.8,124.2,2026-03-03T18:26:00
LOT-2008,cvd,CVD-06,deposition_temp,403.4793,394.5,405.5,2026-03-03T19:32:00
LOT-2008,cvd,CVD-06,chamber_pressure,4.0562,3.79,4.21,2026-03-03T19:32:00
LOT-2008,cvd,CVD-06,rf_bias,249.5415,240.0,260.0,2026-03-03T19:32:00
LOT-2008,cmp,CMP-03,head_downforce,3.563,3.33,3.67,2026-03-03T20:20:00
LOT-2008,cmp,CMP-03,platen_rpm,75.1816,72.9,77.1,2026-03-03T20:20:00
LOT-2008,cmp,CMP-03,slurry_flow_rate,183.1137,173.0,187.0,2026-03-03T20:20:00
LOT-2008,implant,IMP-01,beam_current,12.0706,11.58,12.42,2026-03-03T21:20:00
LOT-2008,implant,IMP-01,acceleration_energy,80.2518,78.2,81.8,2026-03-03T21:20:00
LOT-2008,implant,IMP-01,tilt_angle,6.9825,6.79,7.21,2026-03-03T21:20:00
LOT-2009,litho,LITHO-04,exposure_energy,24.5285,23.7,25.3,2026-03-03T00:08:00
LOT-2009,litho,LITHO-04,focus_offset,-0.4933,-7.5,7.5,2026-03-03T00:08:00
LOT-2009,litho,LITHO-04,numerical_aperture,1.3472,1.339,1.361,2026-03-03T00:08:00
LOT-2009,etch,ETCH-03,chamber_pressure,15.14,13.8,16.2,2026-03-03T00:53:00
LOT-2009,etch,ETCH-03,rf_power_forward,857.8203,828.0,872.0,2026-03-03T00:53:00
LOT-2009,etch,ETCH-03,gas_flow_cl2,121.4681,115.8,124.2,2026-03-03T00:53:00
LOT-2009,cvd,CVD-01,deposition_temp,399.9359,394.5,405.5,2026-03-03T02:09:00
LOT-2009,cvd,CVD-01,chamber_pressure,3.9906,3.79,4.21,2026-03-03T02:09:00
LOT-2009,cvd,CVD-01,rf_bias,249.9153,240.0,260.0,2026-03-03T02:09:00
LOT-2009,cmp,CMP-02,head_downforce,3.4847,3.33,3.67,2026-03-03T03:19:00
LOT-2009,cmp,CMP-02,platen_rpm,75.973,72.9,77.1,2026-03-03T03:19:00
LOT-2009,cmp,CMP-02,slurry_flow_rate,178.3562,173.0,187.0,2026-03-03T03:19:00
LOT-2009,implant,IMP-02,beam_current,12.1077,11.58,12.42,2026-03-03T04:30:00
LOT-2009,implant,IMP-02,acceleration_energy,79.8561,78.2,81.8,2026-03-03T04:30:00
LOT-2009,implant,IMP-02,tilt_angle,7.0066,6.79,7.21,2026-03-03T04:30:00
LOT-2010,litho,LITHO-03,exposure_energy,24.5981,23.7,25.3,2026-03-03T18:12:00
LOT-2010,litho,LITHO-03,focus_offset,1.6822,-7.5,7.5,2026-03-03T18:12:00
LOT-2010,litho,LITHO-03,numerical_aperture,1.3496,1.339,1.361,2026-03-03T18:12:00
LOT-2010,etch,ETCH-01,chamber_pressure,15.2794,13.8,16.2,2026-03-03T18:58:00
LOT-2010,etch,ETCH-01,rf_power_forward,854.4125,828.0,872.0,2026-03-03T18:58:00
LOT-2010,etch,ETCH-01,gas_flow_cl2,118.9008,115.8,124.2,2026-03-03T18:58:00
LOT-2010,cvd,CVD-05,deposition_temp,399.4816,394.5,405.5,2026-03-03T19:44:00
LOT-2010,cvd,CVD-05,chamber_pressure,4.0801,3.79,4.21,2026-03-03T19:44:00
LOT-2010,cvd,CVD-05,rf_bias,247.492,240.0,260.0,2026-03-03T19:44:00
LOT-2010,cmp,CMP-02,head_downforce,3.5148,3.33,3.67,2026-03-03T20:50:00
LOT-2010,cmp,CMP-02,platen_rpm,75.121,72.9,77.1,2026-03-03T20:50:00
LOT-2010,cmp,CMP-02,slurry_flow_rate,177.9198,173.0,187.0,2026-03-03T20:50:00
LOT-2010,implant,IMP-02,beam_current,11.9158,11.58,12.42,2026-03-03T21:53:00
LOT-2010,implant,IMP-02,acceleration_energy,80.1707,78.2,81.8,2026-03-03T21:53:00
LOT-2010,implant,IMP-02,tilt_angle,7.0374,6.79,7.21,2026-03-03T21:53:00
LOT-2011,litho,LITHO-02,exposure_energy,24.2567,23.7,25.3,2026-03-03T12:46:00
LOT-2011,litho,LITHO-02,focus_offset,-0.2544,-7.5,7.5,2026-03-03T12:46:00
LOT-2011,litho,LITHO-02,numerical_aperture,1.3476,1.339,1.361,2026-03-03T12:46:00
LOT-2011,etch,ETCH-08,chamber_pressure,15.5767,13.8,16.2,2026-03-03T14:05:00
LOT-2011,etch,ETCH-08,rf_power_forward,854.9788,828.0,872.0,2026-03-03T14:05:00
LOT-2011,etch,ETCH-08,gas_flow_cl2,121.0088,115.8,124.2,2026-03-03T14:05:00
LOT-2011,cvd,CVD-04,deposition_temp,398.4161,394.5,405.5,2026-03-03T15:24:00
LOT-2011,cvd,CVD-04,chamber_pressure,3.924,3.79,4.21,2026-03-03T15:24:00
LOT-2011,cvd,CVD-04,rf_bias,248.954,240.0,260.0,2026-03-03T15:24:00
LOT-2011,cmp,CMP-03,head_downforce,3.5167,3.33,3.67,2026-03-03T16:17:00
LOT-2011,cmp,CMP-03,platen_rpm,75.3828,72.9,77.1,2026-03-03T16:17:00
LOT-2011,cmp,CMP-03,slurry_flow_rate,179.1742,173.0,187.0,2026-03-03T16:17:00
LOT-2011,implant,IMP-01,beam_current,11.9261,11.58,12.42,2026-03-03T17:11:00
LOT-2011,implant,IMP-01,acceleration_energy,79.9639,78.2,81.8,2026-03-03T17:11:00
LOT-2011,implant,IMP-01,tilt_angle,7.0063,6.79,7.21,2026-03-03T17:11:00
LOT-2012,litho,LITHO-03,exposure_energy,24.4591,23.7,25.3,2026-03-04T03:16:00
LOT-2012,litho,LITHO-03,focus_offset,2.4146,-7.5,7.5,2026-03-04T03:16:00
LOT-2012,litho,LITHO-03,numerical_aperture,1.349,1.339,1.361,2026-03-04T03:16:00
LOT-2012,etch,ETCH-01,chamber_pressure,14.9023,13.8,16.2,2026-03-04T04:09:00
LOT-2012,etch,ETCH-01,rf_power_forward,855.3514,828.0,872.0,2026-03-04T04:09:00
LOT-2012,etch,ETCH-01,gas_flow_cl2,118.3128,115.8,124.2,2026-03-04T04:09:00
LOT-2012,cvd,CVD-03,deposition_temp,399.3986,394.5,405.5,2026-03-04T05:01:00
LOT-2012,cvd,CVD-03,chamber_pressure,3.9727,3.79,4.21,2026-03-04T05:01:00
LOT-2012,cvd,CVD-03,rf_bias,247.0859,240.0,260.0,2026-03-04T05:01:00
LOT-2012,cmp,CMP-04,head_downforce,3.4617,3.33,3.67,2026-03-04T06:11:00
LOT-2012,cmp,CMP-04,platen_rpm,74.6478,72.9,77.1,2026-03-04T06:11:00
LOT-2012,cmp,CMP-04,slurry_flow_rate,180.1691,173.0,187.0,2026-03-04T06:11:00
LOT-2012,implant,IMP-01,beam_current,11.9994,11.58,12.42,2026-03-04T07:10:00
LOT-2012,implant,IMP-01,acceleration_energy,80.2996,78.2,81.8,2026-03-04T07:10:00
LOT-2012,implant,IMP-01,tilt_angle,6.9229,6.79,7.21,2026-03-04T07:10:00
LOT-2013,litho,LITHO-03,exposure_energy,24.7425,23.7,25.3,2026-03-04T10:05:00
LOT-2013,litho,LITHO-03,focus_offset,-2.3698,-7.5,7.5,2026-03-04T10:05:00
LOT-2013,litho,LITHO-03,numerical_aperture,1.3531,1.339,1.361,2026-03-04T10:05:00
LOT-2013,etch,ETCH-02,chamber_pressure,15.1389,13.8,16.2,2026-03-04T11:09:00
LOT-2013,etch,ETCH-02,rf_power_forward,862.7405,828.0,872.0,2026-03-04T11:09:00
LOT-2013,etch,ETCH-02,gas_flow_cl2,118.6422,115.8,124.2,2026-03-04T11:09:00
LOT-2013,cvd,CVD-04,deposition_temp,398.8064,394.5,405.5,2026-03-04T12:29:00
LOT-2013,cvd,CVD-04,chamber_pressure,4.0811,3.79,4.21,2026-03-04T12:29:00
LOT-2013,cvd,CVD-04,rf_bias,253.4107,240.0,260.0,2026-03-04T12:29:00
LOT-2013,cmp,CMP-04,head_downforce,3.4034,3.33,3.67,2026-03-04T13:21:00
LOT-2013,cmp,CMP-04,platen_rpm,74.1671,72.9,77.1,2026-03-04T13:21:00
LOT-2013,cmp,CMP-04,slurry_flow_rate,180.6996,173.0,187.0,2026-03-04T13:21:00
LOT-2013,implant,IMP-01,beam_current,11.7632,11.58,12.42,2026-03-04T14:17:00
LOT-2013,implant,IMP-01,acceleration_energy,79.7596,78.2,81.8,2026-03-04T14:17:00
LOT-2013,implant,IMP-01,tilt_angle,7.0295,6.79,7.21,2026-03-04T14:17:00
LOT-2014,litho,LITHO-02,exposure_energy,24.5756,23.7,25.3,2026-03-03T19:09:00
LOT-2014,litho,LITHO-02,focus_offset,2.2999,-7.5,7.5,2026-03-03T19:09:00
LOT-2014,litho,LITHO-02,numerical_aperture,1.3474,1.339,1.361,2026-03-03T19:09:00
LOT-2014,etch,ETCH-04,chamber_pressure,14.8077,13.8,16.2,2026-03-03T20:20:00
LOT-2014,etch,ETCH-04,rf_power_forward,864.1058,828.0,872.0,2026-03-03T20:20:00
LOT-2014,etch,ETCH-04,gas_flow_cl2,120.0761,115.8,124.2,2026-03-03T20:20:00
LOT-2014,cvd,CVD-02,deposition_temp,400.5404,394.5,405.5,2026-03-03T21:10:00
LOT-2014,cvd,CVD-02,chamber_pressure,4.0022,3.79,4.21,2026-03-03T21:10:00
LOT-2014,cvd,CVD-02,rf_bias,247.1359,240.0,260.0,2026-03-03T21:10:00
LOT-2014,cmp,CMP-01,head_downforce,3.4606,3.33,3.67,2026-03-03T22:02:00
LOT-2014,cmp,CMP-01,platen_rpm,76.15,72.9,77.1,2026-03-03T22:02:00
LOT-2014,cmp,CMP-01,slurry_flow_rate,179.607,173.0,187.0,2026-03-03T22:02:00
LOT-2014,implant,IMP-01,beam_current,12.0362,11.58,12.42,2026-03-03T23:01:00
LOT-2014,implant,IMP-01,acceleration_energy,79.9164,78.2,81.8,2026-03-03T23:01:00
LOT-2014,implant,IMP-01,tilt_angle,7.0232,6.79,7.21,2026-03-03T23:01:00
LOT-2015,litho,LITHO-03,exposure_energy,24.5368,23.7,25.3,2026-03-04T15:48:00
LOT-2015,litho,LITHO-03,focus_offset,-2.8383,-7.5,7.5,2026-03-04T15:48:00
LOT-2015,litho,LITHO-03,numerical_aperture,1.3454,1.339,1.361,2026-03-04T15:48:00
LOT-2015,etch,ETCH-04,chamber_pressure,15.2139,13.8,16.2,2026-03-04T16:34:00
LOT-2015,etch,ETCH-04,rf_power_forward,850.4389,828.0,872.0,2026-03-04T16:34:00
LOT-2015,etch,ETCH-04,gas_flow_cl2,118.6712,115.8,124.2,2026-03-04T16:34:00
LOT-2015,cvd,CVD-02,deposition_temp,401.2745,394.5,405.5,2026-03-04T17:43:00
LOT-2015,cvd,CVD-02,chamber_pressure,4.0191,3.79,4.21,2026-03-04T17:43:00
LOT-2015,cvd,CVD-02,rf_bias,249.6166,240.0,260.0,2026-03-04T17:43:00
LOT-2015,cmp,CMP-04,head_downforce,3.5017,3.33,3.67,2026-03-04T18:45:00
LOT-2015,cmp,CMP-04,platen_rpm,75.8715,72.9,77.1,2026-03-04T18:45:00
LOT-2015,cmp,CMP-04,slurry_flow_rate,178.2573,173.0,187.0,2026-03-04T18:45:00
LOT-2015,implant,IMP-02,beam_current,11.9702,11.58,12.42,2026-03-04T19:55:00
LOT-2015,implant,IMP-02,acceleration_energy,79.7061,78.2,81.8,2026-03-04T19:55:00
LOT-2015,implant,IMP-02,tilt_angle,6.9679,6.79,7.21,2026-03-04T19:55:00
LOT-2016,litho,LITHO-02,exposure_energy,23.9625,23.7,25.3,2026-03-04T11:12:00
LOT-2016,litho,LITHO-02,focus_offset,0.9572,-7.5,7.5,2026-03-04T11:12:00
LOT-2016,litho,LITHO-02,numerical_aperture,1.3543,1.339,1.361,2026-03-04T11:12:00
LOT-2016,etch,ETCH-07,chamber_pressure,14.9148,13.8,16.2,2026-03-04T12:27:00
LOT-2016,etch,ETCH-07,rf_power_forward,850.9392,828.0,872.0,2026-03-04T12:27:00
LOT-2016,etch,ETCH-07,gas_flow_cl2,120.6012,115.8,124.2,2026-03-04T12:27:00
LOT-2016,cvd,CVD-03,deposition_temp,398.3068,394.5,405.5,2026-03-04T13:12:00
LOT-2016,cvd,CVD-03,chamber_pressure,4.0839,3.79,4.21,2026-03-04T13:12:00
LOT-2016,cvd,CVD-03,rf_bias,249.7167,240.0,260.0,2026-03-04T13:12:00
LOT-2016,cmp,CMP-01,head_downforce,3.4283,3.33,3.67,2026-03-04T14:02:00
LOT-2016,cmp,CMP-01,platen_rpm,74.9852,72.9,77.1,2026-03-04T14:02:00
LOT-2016,cmp,CMP-01,slurry_flow_rate,181.0811,173.0,187.0,2026-03-04T14:02:00
LOT-2016,implant,IMP-01,beam_current,12.0214,11.58,12.42,2026-03-04T15:17:00
LOT-2016,implant,IMP-01,acceleration_energy,79.7388,78.2,81.8,2026-03-04T15:17:00
LOT-2016,implant,IMP-01,tilt_angle,7.0331,6.79,7.21,2026-03-04T15:17:00
LOT-2017,litho,LITHO-04,exposure_energy,24.5755,23.7,25.3,2026-03-04T15:07:00
LOT-2017,litho,LITHO-04,focus_offset,1.4045,-7.5,7.5,2026-03-04T15:07:00
LOT-2017,litho,LITHO-04,numerical_aperture,1.352,1.339,1.361,2026-03-04T15:07:00
LOT-2017,etch,ETCH-03,chamber_pressure,14.9796,13.8,16.2,2026-03-04T16:03:00
LOT-2017,etch,ETCH-03,rf_power_forward,855.3622,828.0,872.0,2026-03-04T16:03:00
LOT-2017,etch,ETCH-03,gas_flow_cl2,120.2255,115.8,124.2,2026-03-04T16:03:00
LOT-2017,cvd,CVD-04,deposition_temp,400.4952,394.5,405.5,2026-03-04T17:15:00
LOT-2017,cvd,CVD-04,chamber_pressure,4.0884,3.79,4.21,2026-03-04T17:15:00
LOT-2017,cvd,CVD-04,rf_bias,244.4431,240.0,260.0,2026-03-04T17:15:00
LOT-2017,cmp,CMP-01,head_downforce,3.4263,3.33,3.67,2026-03-04T18:22:00
LOT-2017,cmp,CMP-01,platen_rpm,74.5837,72.9,77.1,2026-03-04T18:22:00
LOT-2017,cmp,CMP-01,slurry_flow_rate,179.8076,173.0,187.0,2026-03-04T18:22:00
LOT-2017,implant,IMP-02,beam_current,12.0524,11.58,12.42,2026-03-04T19:15:00
LOT-2017,implant,IMP-02,acceleration_energy,80.2274,78.2,81.8,2026-03-04T19:15:00
LOT-2017,implant,IMP-02,tilt_angle,6.8769,6.79,7.21,2026-03-04T19:15:00
LOT-2018,litho,LITHO-01,exposure_energy,24.3888,23.7,25.3,2026-03-04T20:01:00
LOT-2018,litho,LITHO-01,focus_offset,1.5016,-7.5,7.5,2026-03-04T20:01:00
LOT-2018,litho,LITHO-01,numerical_aperture,1.3487,1.339,1.361,2026-03-04T20:01:00
LOT-2018,etch,ETCH-06,chamber_pressure,14.899,13.8,16.2,2026-03-04T21:07:00
LOT-2018,etch,ETCH-06,rf_power_forward,860.471,828.0,872.0,2026-03-04T21:07:00
LOT-2018,etch,ETCH-06,gas_flow_cl2,119.3225,115.8,124.2,2026-03-04T21:07:00
LOT-2018,cvd,CVD-02,deposition_temp,399.2244,394.5,405.5,2026-03-04T22:25:00
LOT-2018,cvd,CVD-02,chamber_pressure,4.0746,3.79,4.21,2026-03-04T22:25:00
LOT-2018,cvd,CVD-02,rf_bias,252.0761,240.0,260.0,2026-03-04T22:25:00
LOT-2018,cmp,CMP-02,head_downforce,3.4826,3.33,3.67,2026-03-04T23:13:00
LOT-2018,cmp,CMP-02,platen_rpm,75.2981,72.9,77.1,2026-03-04T23:13:00
LOT-2018,cmp,CMP-02,slurry_flow_rate,181.0976,173.0,187.0,2026-03-04T23:13:00
LOT-2018,implant,IMP-01,beam_current,12.2166,11.58,12.42,2026-03-05T00:30:00
LOT-2018,implant,IMP-01,acceleration_energy,79.749,78.2,81.8,2026-03-05T00:30:00
LOT-2018,implant,IMP-01,tilt_angle,7.0139,6.79,7.21,2026-03-05T00:30:00
LOT-2019,litho,LITHO-03,exposure_energy,24.5225,23.7,25.3,2026-03-05T05:08:00
LOT-2019,litho,LITHO-03,focus_offset,0.1098,-7.5,7.5,2026-03-05T05:08:00
LOT-2019,litho,LITHO-03,numerical_aperture,1.349,1.339,1.361,2026-03-05T05:08:00
LOT-2019,etch,ETCH-06,chamber_pressure,14.7939,13.8,16.2,2026-03-05T06:01:00
LOT-2019,etch,ETCH-06,rf_power_forward,851.5776,828.0,872.0,2026-03-05T06:01:00
LOT-2019,etch,ETCH-06,gas_flow_cl2,117.9748,115.8,124.2,2026-03-05T06:01:00
LOT-2019,cvd,CVD-01,deposition_temp,398.0206,394.5,405.5,2026-03-05T07:07:00
